"Flux"	"Abbreviation"	"OfficialName"	"Direction"	"Lower"	"Upper"
1324	"ACLSm"	"acetolactate synthase, mitochondrial"	"Irreversible"	0	"None"
3818	"ACOAHim"	"acetyl-CoA hydrolase, mitochondrial (irreversible)"	"Irreversible"	0	"None"
2067	"ACOAO4p"	"acyl-CoA oxidase (decanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
2066	"ACOAO5p"	"acyl-CoA oxidase (dodecanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
2064	"ACOAO6p"	"acyl-CpA oxidase (tetradecanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
2063	"ACOAO7p"	"acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
2065	"ACOAO8p"	"acyl-CoA oxidase (octadecanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
2058	"ACOAO9p"	"acyl-CoA oxidase (hexacanoyl-CoA), peroxisomal"	"Irreversible"	0	"None"
3280	"ACOATA"	"Acetyl-CoA ACP transacylase"	"Reversible"	"None"	"None"
3279	"ACOATAm"	"Acetyl-CoA ACP transacylase"	"Reversible"	"None"	"None"
12554	"ACON3MT"	"trans-aconitate 3-methyltransferase"	"Irreversible"	0	"None"
285	"ACONT"	"aconitase"	"Reversible"	"None"	"None"
20495	"ACONT3m"	"aconitase, mitochondrial"	"Reversible"	"None"	"None"
241	"ACONTm"	"Aconitate hydratase"	"Reversible"	"None"	"None"
1339	"ACOTAim"	"acteylornithine transaminase, irreversible, mitochondrial"	"Irreversible"	0	"None"
1823	"ACP1e"	"acid phosphatase, extracellular (secreted)"	"Irreversible"	0	"None"
1723	"ACPSm"	"acyl carrier protein synthase, mitochondrial"	"Irreversible"	0	"None"
2996	"ACRNtm"	"O-acetylcarnintine transport into mitochondria via diffusion"	"Irreversible"	0	"None"
2167	"ACRNtp"	"acetylcarnitine transport out of peroxisome"	"Irreversible"	0	"None"
291	"ACS"	"acetyl-CoA synthetase"	"Irreversible"	0	"None"
699	"ACSm"	"acetyl-CoA synthetase"	"Irreversible"	0	"None"
1173	"ACSp"	"acetyl-CoA synthetase"	"Irreversible"	0	"None"
1557	"ACt2r"	"acetate reversible transport via proton symport"	"Reversible"	"None"	"None"
873	"ACtm"	"acetate transport, mitochondrial"	"Reversible"	"None"	"None"
1528	"ACtp"	"acetate transport, peroxisomal"	"Reversible"	"None"	"None"
1010	"ACtr"	"acetate transporter"	"Reversible"	"None"	"None"
3513	"ADA"	"Adenosine deaminase"	"Irreversible"	0	"None"
3621	"ADCL"	"4-aminobenzoate synthase"	"Irreversible"	0	"None"
3619	"ADCS"	"4-amino-4-deoxychorismate synthase"	"Irreversible"	0	"None"
3515	"ADD"	"adenine deaminase"	"Irreversible"	0	"None"
573	"ADEt2"	"adenine transport in via proton symport"	"Irreversible"	0	"None"
1519	"ADEtm"	"adenine reversible transport, mitochondria"	"Reversible"	"None"	"None"
1959	"ADHAPR_SC"	"acyldihydroxyacetonephosphate reductase, yeast-specific"	"Irreversible"	0	"None"
181	"ADK1"	"adenylate kinase"	"Reversible"	"None"	"None"
1572	"ADK1m"	"adenylate kinase, mitochondrial"	"Reversible"	"None"	"None"
4682	"ADK3"	"adentylate kinase (GTP)"	"Reversible"	"None"	"None"
1573	"ADK3m"	"adentylate kinase (GTP)"	"Reversible"	"None"	"None"
1080	"ADK4"	"adentylate kinase (ITP)"	"Reversible"	"None"	"None"
2984	"ADK4m"	"adentylate kinase (ITP), mitochondrial"	"Reversible"	"None"	"None"
303	"ADMDC"	"adenosylmethionine decarboxylase"	"Irreversible"	0	"None"
2539	"ADNCYC"	"adenylate cyclase"	"Irreversible"	0	"None"
179	"ADNK1"	"adenosine kinase"	"Irreversible"	0	"None"
1143	"ADNUC"	"adenosine hydrolase"	"Irreversible"	0	"None"
