"Index"	"Abbreviation"	"OfficialName"	"Equation"	"ValidTarget"	"reconstruction directionality"	"subSystem"	"proteinClass"	"GeneAssociation"	"reaction with marvin charges (pH7)"	"reaction with marvin charges (pH 7.2)"	"DeltaG"	"delta G (pH 7)"	"mM delta G (pH 7)"	"min delta G (pH 7)"	"max delta G (pH 7)"	"delta G (pH 7.2)"	"uncertainty in delta G (pH 7 or pH 7.2)"	"mM delta G (pH 7.2)"	"min delta G (pH 7.2)"	"max delta G (pH 7.2)"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"
11	"r12PPDStpp"	"(S)-Propane-1,2-diol facilitated transport (periplasm)"	"12ppd-S[p] <==> 12ppd-S[c]"	"FALSE"	"reversible"	"Transport, Inner Membrane"			"12ppd-S[p] <==> 12ppd-S"	"12ppd-S[p] <==> 12ppd-S"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
12	"r14GLUCANabcpp"	"1,4-alpha-D-glucan transport via ABC system (periplasm)"	"14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"( b4034  and  b4033  and  b4032  and  b4035 )"	"14glucan[p] + atp + h2o --> 14glucan + adp + h + pi"	"14glucan[p] + atp + h2o --> 14glucan + adp + h + pi"	-6.7	-6.7	-10.8	-23.5	0	-6.6	2.2	-10.7	-23.4	0.1	"reversible"	"reversible"
13	"r14GLUCANtexi"	"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible"	"14glucan[e] --> 14glucan[p]"	"FALSE"	"forward only"	"Transport, Outer Membrane"		"b4036"	"14glucan[e] --> 14glucan[p]"	"14glucan[e] --> 14glucan[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
14	"r23CAMPtex"	"23cAMP transport via diffusion (extracellular to periplasm)"	"23camp[e] <==> 23camp[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23camp[e] <==> 23camp[p]"	"23camp[e] <==> 23camp[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
15	"r23CCMPtex"	"23cCMP transport via diffusion (extracellular to periplasm)"	"23ccmp[e] <==> 23ccmp[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23ccmp[e] <==> 23ccmp[p]"	"23ccmp[e] <==> 23ccmp[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
16	"r23CGMPtex"	"23cGMP transport via diffusion (extracellular to periplasm)"	"23cgmp[e] <==> 23cgmp[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23cgmp[e] <==> 23cgmp[p]"	"23cgmp[e] <==> 23cgmp[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
17	"r23CUMPtex"	"23cUMP transport via diffusion (extracellular to periplasm)"	"23cump[e] <==> 23cump[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23cump[e] <==> 23cump[p]"	"23cump[e] <==> 23cump[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
18	"r23DAPPAt2pp"	"2,3-diaminopropionate transport in via proton symport"	"23dappa[p] + h[p] --> 23dappa[c] + h[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"			"23dappa[p] + h[p] --> 23dappa + h"	"23dappa[p] + h[p] --> 23dappa + h"	0	0	-6.6	-12.1	-2.1	0	1.5	-6.6	-12.1	-2.1	"forward only"	"forward only"
19	"r23DAPPAtex"	"2,3-diaminopropionate transport via diffusion"	"23dappa[e] <==> 23dappa[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23dappa[e] <==> 23dappa[p]"	"23dappa[e] <==> 23dappa[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
20	"r23PDE2pp"	"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)"	"[p] : 23cump + h2o --> 3ump + h"	"TRUE"	"forward only"	"Nucleotide Salvage Pathway"	"3.1.4.16"	"b4213"	"[p] : 23cump[p] + h2o[p] --> 3ump[p]"	"[p] : 23cump[p] + h2o[p] --> 3ump[p]"	-6.9	-6.9	-6.9	-12.4	-1.5	-6.9	6.3	-6.9	-12.4	-1.5	"forward only"	"reversible"
21	"r23PDE4pp"	"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)"	"[p] : 23ccmp + h2o --> 3cmp + h"	"TRUE"	"forward only"	"Nucleotide Salvage Pathway"	"3.1.4.16"	"b4213"	"[p] : 23ccmp[p] + h2o[p] --> 3cmp[p]"	"[p] : 23ccmp[p] + h2o[p] --> 3cmp[p]"	-6.9	-6.9	-6.9	-12.4	-1.5	-6.9	6.3	-6.9	-12.4	-1.5	"forward only"	"reversible"
22	"r23PDE7pp"	"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"	"[p] : 23camp + h2o --> 3amp + h"	"TRUE"	"forward only"	"Nucleotide Salvage Pathway"	"3.1.4.16"	"b4213"	"[p] : 23camp[p] + h2o[p] --> 3amp[p]"	"[p] : 23camp[p] + h2o[p] --> 3amp[p]"	-6.9	-6.9	-6.9	-12.4	-1.5	-6.9	6.3	-6.9	-12.4	-1.5	"forward only"	"reversible"
23	"r23PDE9pp"	"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)"	"[p] : 23cgmp + h2o --> 3gmp + h"	"TRUE"	"forward only"	"Nucleotide Salvage Pathway"	"3.1.4.16"	"b4213"	"[p] : 23cgmp[p] + h2o[p] --> 3gmp[p]"	"[p] : 23cgmp[p] + h2o[p] --> 3gmp[p]"	-6.9	-6.9	-6.9	-12.4	-1.5	-6.9	6.3	-6.9	-12.4	-1.5	"forward only"	"reversible"
24	"r26DAHtex"	"meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)"	"26dap-M[e] <==> 26dap-M[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"26dap-M[e] <==> 26dap-M[p]"	"26dap-M[e] <==> 26dap-M[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
25	"r2AGPA120tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)"	"2ddecg3p[p] --> 2ddecg3p[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2ddecg3p[p] --> 2ddecg3p"	"2ddecg3p[p] --> 2ddecg3p"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
26	"r2AGPA140tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)"	"2tdecg3p[p] --> 2tdecg3p[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2tdecg3p[p] --> 2tdecg3p"	"2tdecg3p[p] --> 2tdecg3p"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
27	"r2AGPA141tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)"	"2tdec7eg3p[p] --> 2tdec7eg3p[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2tdec7eg3p[p] --> 2tdec7eg3p"	"2tdec7eg3p[p] --> 2tdec7eg3p"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
28	"r2AGPA160tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)"	"2hdecg3p[p] --> 2hdecg3p[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2hdecg3p[p] --> 2hdecg3p"	"2hdecg3p[p] --> 2hdecg3p"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
29	"r2AGPA161tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)"	"2hdec9eg3p[p] --> 2hdec9eg3p[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2hdec9eg3p[p] --> 2hdec9eg3p"	"2hdec9eg3p[p] --> 2hdec9eg3p"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
30	"r2AGPA180tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)"	"2odecg3p[p] --> 2odecg3p[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2odecg3p[p] --> 2odecg3p"	"2odecg3p[p] --> 2odecg3p"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
31	"r2AGPA181tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)"	"2odec11eg3p[p] --> 2odec11eg3p[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2odec11eg3p[p] --> 2odec11eg3p"	"2odec11eg3p[p] --> 2odec11eg3p"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
32	"r2AGPE120tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)"	"2agpe120[p] --> 2agpe120[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe120[p] --> 2agpe120"	"2agpe120[p] --> 2agpe120"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
33	"r2AGPE140tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)"	"2agpe140[p] --> 2agpe140[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe140[p] --> 2agpe140"	"2agpe140[p] --> 2agpe140"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
34	"r2AGPE141tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)"	"2agpe141[p] --> 2agpe141[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe141[p] --> 2agpe141"	"2agpe141[p] --> 2agpe141"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
35	"r2AGPE160tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)"	"2agpe160[p] --> 2agpe160[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe160[p] --> 2agpe160"	"2agpe160[p] --> 2agpe160"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
36	"r2AGPE161tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)"	"2agpe161[p] --> 2agpe161[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe161[p] --> 2agpe161"	"2agpe161[p] --> 2agpe161"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
37	"r2AGPE180tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)"	"2agpe180[p] --> 2agpe180[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe180[p] --> 2agpe180"	"2agpe180[p] --> 2agpe180"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
38	"r2AGPE181tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)"	"2agpe181[p] --> 2agpe181[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe181[p] --> 2agpe181"	"2agpe181[p] --> 2agpe181"	0	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"
39	"r2AGPEAT120"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)"	"[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe120 + atp + ddca + h --> amp + pe120 + ppi"	"2agpe120 + atp + ddca + h --> amp + pe120 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
40	"r2AGPEAT140"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)"	"[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe140 + atp + h + ttdca --> amp + pe140 + ppi"	"2agpe140 + atp + h + ttdca --> amp + pe140 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
41	"r2AGPEAT141"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)"	"[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe141 + atp + h + ttdcea --> amp + pe141 + ppi"	"2agpe141 + atp + h + ttdcea --> amp + pe141 + ppi"	-5	-5	-5	-18.5	8.5	-5.3	2.4	-5.3	-18.8	8.3	"reversible"	"reversible"
42	"r2AGPEAT160"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)"	"[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe160 + atp + h + hdca --> amp + pe160 + ppi"	"2agpe160 + atp + h + hdca --> amp + pe160 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
43	"r2AGPEAT161"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)"	"[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe161 + atp + h + hdcea --> amp + pe161 + ppi"	"2agpe161 + atp + h + hdcea --> amp + pe161 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
44	"r2AGPEAT180"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)"	"[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe180 + atp + h + ocdca --> amp + pe180 + ppi"	"2agpe180 + atp + h + ocdca --> amp + pe180 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
45	"r2AGPEAT181"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)"	"[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe181 + atp + h + ocdcea --> amp + pe181 + ppi"	"2agpe181 + atp + h + ocdcea --> amp + pe181 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
46	"r2AGPG120tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)"	"2agpg120[p] --> 2agpg120[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg120[p] --> 2agpg120"	"2agpg120[p] --> 2agpg120"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
47	"r2AGPG140tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)"	"2agpg140[p] --> 2agpg140[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg140[p] --> 2agpg140"	"2agpg140[p] --> 2agpg140"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
48	"r2AGPG141tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)"	"2agpg141[p] --> 2agpg141[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg141[p] --> 2agpg141"	"2agpg141[p] --> 2agpg141"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
49	"r2AGPG160tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)"	"2agpg160[p] --> 2agpg160[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg160[p] --> 2agpg160"	"2agpg160[p] --> 2agpg160"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
50	"r2AGPG161tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)"	"2agpg161[p] --> 2agpg161[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg161[p] --> 2agpg161"	"2agpg161[p] --> 2agpg161"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
51	"r2AGPG180tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)"	"2agpg180[p] --> 2agpg180[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg180[p] --> 2agpg180"	"2agpg180[p] --> 2agpg180"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
52	"r2AGPG181tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)"	"2agpg181[p] --> 2agpg181[c]"	"FALSE"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg181[p] --> 2agpg181"	"2agpg181[p] --> 2agpg181"	0	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"
53	"r2AGPGAT120"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)"	"[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg120 + atp + ddca + h --> amp + pg120 + ppi"	"2agpg120 + atp + ddca + h --> amp + pg120 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
54	"r2AGPGAT140"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)"	"[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg140 + atp + h + ttdca --> amp + pg140 + ppi"	"2agpg140 + atp + h + ttdca --> amp + pg140 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
55	"r2AGPGAT141"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)"	"[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg141 + atp + h + ttdcea --> amp + pg141 + ppi"	"2agpg141 + atp + h + ttdcea --> amp + pg141 + ppi"	-5	-5	-5	-18.5	8.5	-5.3	2.4	-5.3	-18.8	8.3	"reversible"	"reversible"
56	"r2AGPGAT160"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)"	"[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg160 + atp + h + hdca --> amp + pg160 + ppi"	"2agpg160 + atp + h + hdca --> amp + pg160 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
57	"r2AGPGAT161"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)"	"[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg161 + atp + h + hdcea --> amp + pg161 + ppi"	"2agpg161 + atp + h + hdcea --> amp + pg161 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
58	"r2AGPGAT180"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)"	"[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg180 + atp + h + ocdca --> amp + pg180 + ppi"	"2agpg180 + atp + h + ocdca --> amp + pg180 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
59	"r2AGPGAT181"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)"	"[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg181 + atp + h + ocdcea --> amp + pg181 + ppi"	"2agpg181 + atp + h + ocdcea --> amp + pg181 + ppi"	-5.9	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"
60	"r2DGLCNRx"	"2-dehydro-D-gluconate reductase (NADH)"	"[c] : 2dhglcn + h + nadh --> glcn + nad"	"TRUE"	"forward only"	"Alternate Carbon Metabolism"		"b3553"	"2dhglcn + h + nadh --> glcn + nad"	"2dhglcn + h + nadh --> glcn + nad"	-6.1	-6.1	-6.1	-15.2	2.9	-6.4	3.2	-6.4	-15.4	2.6	"reversible"	"reversible"
61	"r2DGLCNRy"	"2-dehydro-D-gluconate reductase (NADPH)"	"[c] : 2dhglcn + h + nadph --> glcn + nadp"	"TRUE"	"forward only"	"Alternate Carbon Metabolism"	"1.1.1.215"	"b3553"	"2dhglcn + (2) h + nadph --> glcn + nadp"	"2dhglcn + h + nadph --> glcn + nadp"	-6.1	-6.1	-6.1	-15.2	2.9	-6.7	3.2	-6.7	-15.7	2.3	"reversible"	"reversible"
