"Abbreviation"	"OfficialName"	"Equation"	"subSystem"	"GeneAssociation"	"ValidTarget"	"ValidTarget-test"
"ACACT8p"	"acetyl-CoA acyltransferase (hexadecanoyl-CoA), peroxisomal"	"[x] : 3ohodcoa + coa --> accoa + pmtcoa"	"Fatty Acid Degradation"	"YIL160C"	"TRUE"	"FALSE"
"ACACT9p"	"acetyl-CoA acyltransferase (tetracosanoyl-CoA), peroxisomal"	"[x] : 3ohxccoa + coa --> accoa + ttccoa"	"Fatty Acid Degradation"	"YIL160C"	"TRUE"	"FALSE"
"ACALDCD"	"Acetaldehyde condensation"	"[c] : (2) acald --> actn-R"	"Alternate Carbon Metabolism"	"YLR044C, YLR134W, YGR087C"	"TRUE"	"FALSE"
"ACALDt"	"acetaldehyde reversible transport"	"acald[e] <==> acald[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"ACALDtm"	"acetaldehyde mitochondrial diffusion"	"acald[m] <==> acald[c]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"ACCOACr"	"acetyl-CoA carboxylase, reversible reaction"	"[c] : accoa + atp + hco3 <==> adp + h + malcoa + pi"	"Fatty Acid  Biosynthesis"	"YNR016C"	"TRUE"	"FALSE"
"ACCOACrm"	"Acetyl-Coa carboxylase, mitochondrial"	"[m] : accoa + atp + hco3 <==> adp + h + malcoa + pi"	"Fatty Acid  Biosynthesis"	"YMR207C"	"TRUE"	"FALSE"
"ACCOAtn"	"acetyl-CoA transport, nuclear"	"accoa[c] <==> accoa[n]"	"Transport, Nuclear"		"TRUE"	"FALSE"
"ACESt"	"acetic ester transport (extracellular)"	"aces[c] --> aces[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"ACGAM6PS"	"N-acetylglucosamine-6-phosphate synthase"	"[c] : accoa + gam6p <==> acgam6p + coa + h"	"Glutamate metabolism"	"YFL017C"	"TRUE"	"FALSE"
"ACGAMPM"	"phosphoacetylglucosamine mutase"	"[c] : acgam6p <==> acgam1p"	"Glutamate metabolism"	"YEL058W"	"TRUE"	"FALSE"
"ACGKm"	"acetylglutamate kinase, mitochondrial"	"[m] : acglu + atp --> acg5p + adp"	"Arginine and Proline Metabolism"	"YER069W"	"TRUE"	"FALSE"
"ACGSm"	"N-acteylglutamate synthase, mitochondrial"	"[m] : accoa + glu-L --> acglu + coa + h"	"Arginine and Proline Metabolism"	"YJL071W, YMR062C"	"TRUE"	"FALSE"
"ACHBSm"	"2-aceto-2-hydroxybutanoate synthase, mitochondrial"	"[m] : 2obut + h + pyr --> 2ahbut + co2"	"Valine, Leucine, and Isoleucine Metabolism"	"YMR108W+YCL009C"	"TRUE"	"FALSE"
"ACHLE1"	"Isoamyl acetate-hydrolyzing esterase"	"[c] : h2o + iamac --> ac + h + iamoh"	"Complex Alcohol Metabolism"	"YOR126C"	"TRUE"	"FALSE"
"ACHLE2"	"Isobutyl acetate-hydrolyzing esterase"	"[c] : h2o + ibutac --> ac + h + ibutoh"	"Complex Alcohol Metabolism"	"YOR126C"	"TRUE"	"FALSE"
"ACHLE3"	"Ethyl acetate-hydrolyzing esterase"	"[c] : aces + h2o --> ac + etoh + h"	"Complex Alcohol Metabolism"	"YOR126C"	"TRUE"	"FALSE"
"ACLSm"	"acetolactate synthase, mitochondrial"	"[m] : h + (2) pyr --> alac-S + co2"	"Valine, Leucine, and Isoleucine Metabolism"	"YMR108W+YCL009C"	"TRUE"	"FALSE"
"ACOAHim"	"acetyl-CoA hydrolase, mitochondrial (irreversible)"	"[m] : accoa + h2o --> ac + coa + h"	"Pyruvate Metabolism"	"YBL015W"	"TRUE"	"FALSE"
"ACOAO4p"	"acyl-CoA oxidase (decanoyl-CoA), peroxisomal"	"[x] : dcacoa + o2 --> dc2coa + h2o2"	"Fatty Acid Degradation"	"YGL205W"	"TRUE"	"FALSE"
"ACOAO5p"	"acyl-CoA oxidase (dodecanoyl-CoA), peroxisomal"	"[x] : ddcacoa + o2 --> dd2coa + h2o2"	"Fatty Acid Degradation"	"YGL205W"	"TRUE"	"FALSE"
"ACOAO6p"	"acyl-CpA oxidase (tetradecanoyl-CoA), peroxisomal"	"[x] : o2 + tdcoa --> h2o2 + td2coa"	"Fatty Acid Degradation"	"YGL205W"	"TRUE"	"FALSE"
"ACOAO7p"	"acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal"	"[x] : o2 + pmtcoa --> h2o2 + hdd2coa"	"Fatty Acid Degradation"	"YGL205W"	"TRUE"	"FALSE"
"ACOAO8p"	"acyl-CoA oxidase (octadecanoyl-CoA), peroxisomal"	"[x] : o2 + stcoa --> h2o2 + od2coa"	"Fatty Acid Degradation"	"YGL205W"	"TRUE"	"FALSE"
"ACOAO9p"	"acyl-CoA oxidase (hexacanoyl-CoA), peroxisomal"	"[x] : hexccoa + o2 --> h2o2 + hxc2coa"	"Fatty Acid Degradation"	"YGL205W"	"TRUE"	"FALSE"
"ACOATA"	"Acetyl-CoA ACP transacylase"	"[c] : ACP + accoa <==> acACP + coa"	"Fatty Acid  Biosynthesis"	"YKL182W+YPL231W"	"TRUE"	"FALSE"
"ACOATAm"	"Acetyl-CoA ACP transacylase"	"[m] : ACP + accoa <==> acACP + coa"	"Fatty Acid  Biosynthesis"	"YHR067W, YKL192C, YKL055C, YOR221C, YBR026C, YER061C"	"TRUE"	"FALSE"
"ACON3MT"	"trans-aconitate 3-methyltransferase"	"[c] : acon-T + amet --> acon5m + ahcys"	"Other"	"YER175C"	"TRUE"	"FALSE"
"ACONT"	"aconitase"	"[c] : cit <==> icit"	"Citric Acid Cycle"	"YLR304C"	"TRUE"	"FALSE"
"ACONT3m"	"aconitase, mitochondrial"	"[m] : 2mcit <==> micit"	"Anaplerotic reactions"	"YPR002W"	"TRUE"	"FALSE"
"ACONTm"	"Aconitate hydratase"	"[m] : cit <==> icit"	"Citric Acid Cycle"	"YLR304C, YJL200C"	"TRUE"	"FALSE"
"ACOTAim"	"acteylornithine transaminase, irreversible, mitochondrial"	"[m] : acg5sa + glu-L --> acorn + akg"	"Arginine and Proline Metabolism"	"YOL140W"	"TRUE"	"FALSE"
"ACP1e"	"acid phosphatase, extracellular (secreted)"	"[e] : fmn + h2o --> pi + ribflv"	"Riboflavin Metabolism"	"YAR071W, YBR093C"	"TRUE"	"FALSE"
"ACPSm"	"acyl carrier protein synthase, mitochondrial"	"[m] : coa + h2o --> (2) h + pan4p + pap"	"Pantothenate and CoA Biosynthesis"	"YPL148C"	"TRUE"	"FALSE"
"ACRNtm"	"O-acetylcarnintine transport into mitochondria via diffusion"	"acrn[c] --> acrn[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"ACRNtp"	"acetylcarnitine transport out of peroxisome"	"acrn[x] --> acrn[c]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"ACS"	"acetyl-CoA synthetase"	"[c] : ac + atp + coa --> accoa + amp + ppi"	"Pyruvate Metabolism"	"YLR153C"	"TRUE"	"FALSE"
"ACSm"	"acetyl-CoA synthetase"	"[m] : ac + atp + coa --> accoa + amp + ppi"	"Pyruvate Metabolism"	"YAL054C"	"TRUE"	"FALSE"
"ACSp"	"acetyl-CoA synthetase"	"[x] : ac + atp + coa --> accoa + amp + ppi"	"Pyruvate Metabolism"	"YAL054C"	"TRUE"	"FALSE"
"ACt2r"	"acetate reversible transport via proton symport"	"ac[e] + h[e] <==> ac[c] + h[c]"	"Transport, Extracellular"	"YCR032W"	"TRUE"	"FALSE"
"ACtm"	"acetate transport, mitochondrial"	"ac[c] <==> ac[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"ACtp"	"acetate transport, peroxisomal"	"ac[c] <==> ac[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"ACtr"	"acetate transporter"	"ac[e] <==> ac[c]"	"Transport, Extracellular"	"YCR010C"	"TRUE"	"FALSE"
"ADA"	"Adenosine deaminase"	"[c] : adn + h + h2o --> ins + nh4"	"Nucleotide Salvage Pathway"	"YNL141W"	"TRUE"	"FALSE"
"ADCL"	"4-aminobenzoate synthase"	"[c] : 4adcho --> 4abz + h + pyr"	"Folate Metabolism"	"YMR289W"	"TRUE"	"FALSE"
"ADCS"	"4-amino-4-deoxychorismate synthase"	"[c] : chor + gln-L --> 4adcho + glu-L"	"Folate Metabolism"	"YNR033W"	"TRUE"	"FALSE"
"ADD"	"adenine deaminase"	"[c] : ade + h + h2o --> hxan + nh4"	"Nucleotide Salvage Pathway"	"YNL141W"	"TRUE"	"FALSE"
"ADEt2"	"adenine transport in via proton symport"	"ade[e] + h[e] --> ade[c] + h[c]"	"Transport, Extracellular"	"YGL186C, YER060W-A, YER060W, YER056C"	"TRUE"	"FALSE"
"ADEtm"	"adenine reversible transport, mitochondria"	"ade[c] <==> ade[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"ADHAPR_SC"	"acyldihydroxyacetonephosphate reductase, yeast-specific"	"[c] : (0.01) 1agly3p-SC + h + nadph --> (0.01) 1ag3p-SC + nadp"	"Phospholipid Biosynthesis"	"YIL124W"	"TRUE"	"FALSE"
"ADK1"	"adenylate kinase"	"[c] : amp + atp <==> (2) adp"	"Nucleotide Salvage Pathway"	"YDR226W"	"TRUE"	"FALSE"
"ADK1m"	"adenylate kinase, mitochondrial"	"[m] : amp + atp <==> (2) adp"	"Nucleotide Salvage Pathway"	"YER170W"	"TRUE"	"FALSE"
"ADK3"	"adentylate kinase (GTP)"	"[c] : amp + gtp <==> adp + gdp"	"Nucleotide Salvage Pathway"	"YDR226W"	"TRUE"	"FALSE"
"ADK3m"	"adentylate kinase (GTP)"	"[m] : amp + gtp <==> adp + gdp"	"Nucleotide Salvage Pathway"	"YER170W"	"TRUE"	"FALSE"
"ADK4"	"adentylate kinase (ITP)"	"[c] : amp + itp <==> adp + idp"	"Nucleotide Salvage Pathway"	"YDR226W"	"TRUE"	"FALSE"
"ADK4m"	"adentylate kinase (ITP), mitochondrial"	"[m] : amp + itp <==> adp + idp"	"Nucleotide Salvage Pathway"	"YER170W"	"TRUE"	"FALSE"
"ADMDC"	"adenosylmethionine decarboxylase"	"[c] : amet + h --> ametam + co2"	"Methionine Metabolism"	"YOL052C"	"TRUE"	"FALSE"
"ADNCYC"	"adenylate cyclase"	"[c] : atp --> camp + ppi"	"Purine and Pyrimidine Biosynthesis"	"YJL005W"	"TRUE"	"FALSE"
"ADNK1"	"adenosine kinase"	"[c] : adn + atp --> adp + amp + h"	"Nucleotide Salvage Pathway"	"YJR105W"	"TRUE"	"FALSE"
"ADNt2"	"adenosine transport in via proton symport"	"adn[e] + h[e] --> adn[c] + h[c]"	"Transport, Extracellular"	"YAL022C"	"TRUE"	"FALSE"
"ADNUC"	"adenosine hydrolase"	"[c] : adn + h2o --> ade + rib-D"	"Nucleotide Salvage Pathway"	"YDR400W"	"TRUE"	"FALSE"
"ADPT"	"adenine phosphoribosyltransferase"	"[c] : ade + prpp --> amp + ppi"	"Nucleotide Salvage Pathway"	"YDR441C, YML022W"	"TRUE"	"FALSE"
"ADSK"	"adenylyl-sulfate kinase"	"[c] : aps + atp --> adp + h + paps"	"Cysteine Metabolism"	"YKL001C"	"TRUE"	"FALSE"
"ADSL1r"	"adenylsuccinate lyase"	"[c] : dcamp <==> amp + fum"	"Purine and Pyrimidine Biosynthesis"	"YLR359W"	"TRUE"	"FALSE"
"ADSL2r"	"adenylosuccinate lyase"	"[c] : 25aics <==> aicar + fum"	"Purine and Pyrimidine Biosynthesis"	"YLR359W"	"TRUE"	"FALSE"
"ADSS"	"adenylosuccinate synthase"	"[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi"	"Purine and Pyrimidine Biosynthesis"	"YNL220W"	"TRUE"	"FALSE"
